metric,mean_delta_single,mean_delta_multi,t_stat,p_value,cohen_d
clarity,0.54,0.46,1.4288690166235205,0.15938605197461633,-0.202072594216369
novelty,0.54,0.52,0.33035042472810605,0.742543543361841,-0.04671860509861999
overall,0.2,0.14,1.7685190342396897,0.08319896692938429,-0.25010636035367373
